TotalScore,Probability,NumCombinations
3,1.2577508898587546e-05,1
4,3.773252669576264e-05,3
5,7.546505339152527e-05,6
6,0.00012577508898587545,10
7,0.0001886626334788132,15
8,0.00026412768687033845,21
9,0.0003521702491604513,28
10,0.00045279032034915167,36
11,0.0005659879004364396,45
12,0.000691762989422315,55
13,0.0008301155873067781,66
14,0.0009810456940898286,78
15,0.0011445533097714667,91
16,0.0013206384343516923,105
17,0.0015093010678305055,120
18,0.0017105412102079063,136
19,0.0019243588614838946,153
20,0.0021507540216584705,171
21,0.002389726690731634,190
22,0.0026412768687033845,210
23,0.002905404555573723,231
24,0.003182109751342649,253
25,0.0034336599293144,273
26,0.0036977876161847383,294
27,0.0039744928119536645,316
28,0.004263775516621178,339
29,0.004565635730187279,363
30,0.0048800734526519675,388
31,0.005169356157319481,411
32,0.005471216370885583,435
33,0.0057479215666545085,457
34,0.006037204271322022,480
35,0.006339064484888123,504
36,0.0066535022073528115,529
37,0.006942784912020325,552
38,0.007244645125586427,576
39,0.0075213503213553525,598
40,0.007810633026022866,621
41,0.008112493239588967,645
42,0.008426930962053656,670
43,0.00871621366672117,693
44,0.00901807388028727,717
45,0.009294779076056196,739
46,0.009546329254027947,759
47,0.009848189467594049,783
48,0.010087162136667212,802
49,0.0103009797879432,819
50,0.010527374948117776,837
51,0.010728615090495176,853
52,0.010942432741771166,870
53,0.011244292955337265,894
54,0.011445533097714667,910
55,0.011697083275686417,930
56,0.01188574590916523,945
57,0.012049253524846868,958
58,0.012187606122731332,969
59,0.01245173380960167,990
60,0.012577508898587546,1000
61,0.012829059076559297,1020
62,0.012942256656646585,1029
63,0.01306803174563246,1039
64,0.013130919290125397,1044
65,0.013319581923604211,1059
66,0.013332159432502799,1060
67,0.013545977083778787,1077
68,0.013583709610474549,1080
69,0.013583709610474549,1080
70,0.013583709610474549,1080
71,0.013659174663866075,1086
72,0.01352082206598161,1075
73,0.013659174663866075,1086
74,0.013545977083778787,1077
75,0.013407624485894323,1066
76,0.013432779503691499,1068
77,0.013357314450299973,1062
78,0.013181229325719747,1048
79,0.013244116870212685,1053
80,0.013055454236733873,1038
81,0.01276617153206636,1015
82,0.012753594023167772,1014
83,0.012489466336297434,993
84,0.012313381211717208,979
85,0.012263071176122856,975
86,0.01203667601594828,957
87,0.011659350748990655,927
88,0.011697083275686417,930
89,0.011244292955337265,894
90,0.011143672884148565,886
91,0.011055630321858453,879
92,0.010791502634988114,858
93,0.010376444841334724,825
94,0.010489642421422014,834
95,0.009810456940898285,780
96,0.009823034449796873,781
97,0.00958406178072371,762
98,0.00928220156715761,738
99,0.00891745380909857,709
100,0.009055806406983034,720
101,0.00830115587306778,660
102,0.008426930962053656,670
103,0.008112493239588967,645
104,0.007772900499327103,618
105,0.0074710402857610025,594
106,0.0075465053391525275,600
107,0.006716389751845749,534
108,0.006993094947614675,556
109,0.0066031921717584615,525
110,0.006263599431496598,498
111,0.00615040185140931,489
112,0.006112669324713547,486
113,0.005320286264102532,423
114,0.005710189039958746,454
115,0.005207088684015244,414
116,0.0048674959437533805,387
117,0.0049178059793477304,391
118,0.004678833310274567,372
119,0.0039996478297508395,318
120,0.004502748185694341,358
121,0.003848717722967789,306
122,0.0035845900360974505,285
123,0.0037732526695762637,300
124,0.003395927402618637,270
125,0.0028676720288779603,228
126,0.0034462374382129876,274
127,0.00271674192209491,216
128,0.002490346761920334,198
129,0.002829939502182198,225
130,0.002301684128441521,183
131,0.0019243588614838946,153
132,0.002565811815311859,204
133,0.001773428754700844,141
134,0.0016602311746135561,132
135,0.0020878664771655326,166
136,0.0014715685411347428,117
137,0.0012829059076559296,102
138,0.0018488938080923692,147
139,0.0010942432741771165,87
140,0.0010942432741771165,87
141,0.0014715685411347428,117
142,0.0008678481140025406,69
143,0.0008301155873067781,66
144,0.0012954834165545173,103
145,0.0006037204271322022,48
146,0.0006791854805237275,54
147,0.0010565107474813538,84
148,0.00045279032034915167,36
149,0.0005282553737406769,42
150,0.0009181581495968908,73
151,0.00026412768687033845,21
152,0.00041505779365338903,33
153,0.000691762989422315,55
154,0.0001886626334788132,15
155,0.0003018602135661011,24
156,0.0005659879004364396,45
157,0.00011319758008728792,9
158,0.00022639516017457584,18
159,0.00045279032034915167,36
160,7.546505339152527e-05,6
161,0.00015093010678305055,12
162,0.0003521702491604513,28
164,0.00011319758008728792,9
165,0.00026412768687033845,21
167,7.546505339152527e-05,6
168,0.0001886626334788132,15
170,3.773252669576264e-05,3
171,0.00012577508898587545,10
174,7.546505339152527e-05,6
177,3.773252669576264e-05,3
180,1.2577508898587546e-05,1
